,SD #.1,Parish.1,"Parish Pop.
in SD","% of SD
in Parish"
98,31.0,Red River,9091.0,0.082
99,31.0,Sabine,24233.0,0.219
100,31.0,Winn,6350.0,0.057
101,32.0,Avoyelles,4327.0,0.039
102,32.0,Caldwell,10132.0,0.09
103,32.0,Catahoula,10407.0,0.093
104,32.0,Concordia,13657.0,0.122
105,32.0,Franklin,20767.0,0.185
106,32.0,La Salle,14890.0,0.133
107,32.0,Ouachita,6099.0,0.054
108,32.0,Rapides,17375.0,0.155
109,32.0,Richland,710.0,0.006
110,32.0,West Feliciana,13884.0,0.124
111,33.0,Claiborne,13340.0,0.118
112,33.0,Lincoln,4930.0,0.043
113,33.0,Morehouse,18789.0,0.166
114,33.0,Ouachita,42027.0,0.371
115,33.0,Union,22721.0,0.2
116,33.0,West Carroll,11604.0,0.102
117,34.0,Concordia,7165.0,0.062
118,34.0,East Carroll,7759.0,0.068
119,34.0,Madison,12093.0,0.105
120,34.0,Morehouse,9190.0,0.08
121,34.0,Ouachita,53240.0,0.464
122,34.0,Richland,20015.0,0.174
123,34.0,Tensas,5252.0,0.046
124,35.0,Grant,13438.0,0.119
125,35.0,Jackson,10136.0,0.09
126,35.0,Lincoln,22275.0,0.198
127,35.0,Ouachita,52354.0,0.465
128,35.0,Rapides,11554.0,0.103
129,35.0,Winn,2845.0,0.025
130,36.0,Bienville,7898.0,0.071
131,36.0,Bossier,58063.0,0.523
132,36.0,Claiborne,3855.0,0.035
133,36.0,Webster,41207.0,0.371
134,37.0,Bossier,58916.0,0.532
135,37.0,Caddo,51855.0,0.468
136,38.0,Caddo,85150.0,0.762
137,38.0,De Soto,26656.0,0.238
138,39.0,Caddo,117964.0,1.0
