Branch,First Name,Last Name,District,HB 1635: Floor Amendment #3,HB 1700: Recommendation #34,HB 1908,HB 2241,HB 2269,HB 2292,HB 2329,HB 2611,HB 2696,SB 1328,SB 1355,SB 1456,SB 1573,SB 1605,SB 1666
Senate,Siobhan,Dunnavant,12,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Adam,Ebbin,30,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to preserve offshore habitat and limit fossil fuel dependency by prohibiting drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",Candidate voted to strengthen a carbon tax on electric generation facilities and allocate the funds raised by this tax to local hazard mitigation projects and communities affected by decline of fossil fuel production.
Senate,John,Edwards,21,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Barbara,Favola,31,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Emmett,Hanger,24,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Janet,Howell,32,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Lynwood,Lewis,6,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to preserve offshore habitat and limit fossil fuel dependency by prohibiting drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",Candidate voted to strengthen a carbon tax on electric generation facilities and allocate the funds raised by this tax to local hazard mitigation projects and communities affected by decline of fossil fuel production.
Senate,Mamie,Locke,2,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Louise,Lucas,18,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to remove unnecesarry limitations on renewable energy access, which allows Virginia to reduce fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,David,Marsden,37,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to preserve offshore habitat and limit fossil fuel dependency by prohibiting drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",Candidate voted to strengthen a carbon tax on electric generation facilities and allocate the funds raised by this tax to local hazard mitigation projects and communities affected by decline of fossil fuel production.
Senate,Monty,Mason,1,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to preserve offshore habitat and limit fossil fuel dependency by prohibiting drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",Candidate voted to strengthen a carbon tax on electric generation facilities and allocate the funds raised by this tax to local hazard mitigation projects and communities affected by decline of fossil fuel production.
Senate,Jennifer,McClellan,9,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to preserve offshore habitat and limit fossil fuel dependency by prohibiting drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",Candidate voted to strengthen a carbon tax on electric generation facilities and allocate the funds raised by this tax to local hazard mitigation projects and communities affected by decline of fossil fuel production.
Senate,Ryan,McDougle,4,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Jeremy,McPike,29,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,-,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Stephen,Newman,23,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Thomas,Norment,3,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,-,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Mark,Obenshain,26,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Mark,Peake,22,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Chapman,Petersen,34,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,"Candidate voted against ensuring coal plants dispose of coal ash safely and sustainably. This threatens public safety by permitting pollution of waterways, ground water, drinking water, and the air.",-,Candidate voted to preserve offshore habitat and limit fossil fuel dependency by prohibiting drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",Candidate voted to strengthen a carbon tax on electric generation facilities and allocate the funds raised by this tax to local hazard mitigation projects and communities affected by decline of fossil fuel production.
Senate,Bryce,Reeves,17,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Frank,Ruff,15,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Richard,Saslaw,35,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to remove unnecesarry limitations on renewable energy access, which allows Virginia to reduce fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,Lionell,Spruill,5,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,William,Stanley,20,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Richard,Stuart,28,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Glen,Sturtevant,10,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,"Candidate voted to continue unnecesarry limitations on renewable energy access, which prevents Virginia from reducing fossil fuel dependency. This bill would have saved money for municipalities and counties, and therefore
taxpayers, while creating clean energy jobs and cutting electricity demand and air pollution.",-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
Senate,David,Suetterlein,19,-,-,-,-,Candidate voted to preserve Virginia's ability to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to preserve Virginia's ability to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,"Candidate voted against ensuring coal plants dispose of coal ash safely and sustainably. This threatens public safety by permitting pollution of waterways, ground water, drinking water, and the air.",-,Candidate voted to deplete offshore habitat and promote fossil fuel dependency by allowing drilling in Virginia's waters.,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.","Candidate voted against strengthening a carbon tax on electric generation facilities. In turn, no funds will allocated to local hazard mitigation projects and communities affected by decline of fossil fuel production. Essentially, Candidate not only prevented Virginia from being a leader for climate solutions, but also prevented Virginia's local goverments from protecting jobs and preserving public safety."
Senate,Scott,Surovell,36,-,-,-,-,Candidate voted to make it more difficult for Virginia to enter regional collaborative efforts to combat climate change in the transportation sector (via the Transportation and Climate Initiative).,-,-,Candidate voted to make it more difficult for Virginia to enter into a regional cap and trade program (RGGI). States in this program have seen lower electricity bills and more clean job growth - joining it makes common sense.,-,-,Candidate voted to ensure that coal plants dispose of coal ash- one of the largest types of industrial waste generated in the United States- safely and sustainably.,-,-,"Candidate voted to improve monitoring of elecric utilities' energy efficienty programs, which promotes meaningful, independent assessment of electric utilities' sustainability.",-
