,AD #.1,County.3,"County Pop.
in AD","% of AD
in County"
85,83,Bronx,125969,1.0
86,84,Bronx,125704,1.0
87,85,Bronx,125770,1.0
88,86,Bronx,125742,1.0
89,87,Bronx,125933,1.0
90,88,Westchester,131070,1.0
91,89,Westchester,131524,1.0
92,90,Westchester,131744,1.0
93,91,Westchester,131071,1.0
94,92,Westchester,132124,1.0
95,93,Westchester,132216,1.0
96,94,Putnam,76541,0.575
97,94,Westchester,56515,0.425
98,95,Putnam,23169,0.184
99,95,Westchester,102849,0.816
100,96,Rockland,132487,1.0
101,97,Rockland,132439,1.0
102,98,Orange,101436,0.762
103,98,Rockland,31702,0.238
104,99,Orange,118258,0.887
105,99,Rockland,15059,0.113
106,100,Orange,62530,0.458
107,100,Sullivan,73990,0.542
108,101,Delaware,12868,0.095
109,101,Herkimer,26113,0.193
110,101,Oneida,26577,0.196
111,101,Orange,31922,0.235
112,101,Otsego,6237,0.046
113,101,Sullivan,3557,0.026
114,101,Ulster,28278,0.209
115,102,Albany,12622,0.093
116,102,Columbia,4842,0.036
117,102,Delaware,11771,0.087
118,102,Greene,49221,0.364
119,102,Otsego,4507,0.033
120,102,Schoharie,32749,0.242
121,102,Ulster,19482,0.144
122,103,Dutchess,18867,0.141
123,103,Ulster,115062,0.859
124,104,Dutchess,48277,0.381
125,104,Orange,58667,0.463
126,104,Ulster,19671,0.155
127,105,Dutchess,135315,1.0
128,106,Columbia,38032,0.286
129,106,Dutchess,95029,0.714
130,107,Columbia,20222,0.152
131,107,Rensselaer,107436,0.808
132,107,Washington,5377,0.04
133,108,Albany,71502,0.542
134,108,Rensselaer,51993,0.394
135,108,Saratoga,8423,0.064
136,109,Albany,133003,1.0
137,110,Albany,81591,0.621
138,110,Schenectady,49869,0.379
139,111,Albany,5486,0.042
140,111,Montgomery,50219,0.383
141,111,Schenectady,75378,0.575
142,112,Saratoga,104039,0.779
143,112,Schenectady,29480,0.221
144,113,Saratoga,96496,0.723
145,113,Washington,36886,0.277
146,114,Essex,39370,0.288
147,114,Saratoga,10649,0.078
148,114,Warren,65707,0.481
149,114,Washington,20953,0.153
150,115,Clinton,82128,0.589
151,115,Franklin,51599,0.37
152,115,St. Lawrence,5725,0.041
153,116,Jefferson,63580,0.473
154,116,St. Lawrence,70903,0.527
155,117,Jefferson,49175,0.366
156,117,Lewis,27087,0.202
157,117,Oneida,41297,0.308
158,117,St. Lawrence,16687,0.124
159,118,Fulton,55531,0.419
160,118,Hamilton,4836,0.036
161,118,Herkimer,30770,0.232
162,118,Oneida,22863,0.172
163,118,St. Lawrence,18629,0.14
164,119,Herkimer,7636,0.057
165,119,Oneida,127428,0.943
166,120,Jefferson,3474,0.026
167,120,Onondaga,21759,0.164
168,120,Oswego,107612,0.81
169,121,Madison,73442,0.55
170,121,Oneida,16713,0.125
171,121,Otsego,43459,0.325
172,122,Broome,63458,0.475
173,122,Chenango,38638,0.289
174,122,Delaware,23341,0.175
175,122,Otsego,8056,0.06
176,123,Broome,131765,1.0
177,124,Broome,5377,0.04
178,124,Chemung,79380,0.584
179,124,Tioga,51125,0.376
180,125,Cortland,31824,0.239
181,125,Tompkins,101564,0.761
182,126,Cayuga,54258,0.398
183,126,Chenango,11839,0.087
184,126,Cortland,17512,0.128
185,126,Onondaga,52687,0.387
186,127,Onondaga,133990,1.0
187,128,Onondaga,129204,1.0
188,129,Onondaga,129386,1.0
189,130,Cayuga,25768,0.192
190,130,Oswego,14497,0.108
191,130,Wayne,93772,0.7
192,131,Ontario,107931,0.812
193,131,Seneca,24920,0.188
194,132,Chemung,9450,0.07
195,132,Schuyler,18343,0.136
196,132,Seneca,10331,0.076
197,132,Steuben,71858,0.531
198,132,Yates,25348,0.187
199,133,Livingston,65393,0.483
200,133,Monroe,46810,0.345
201,133,Steuben,23304,0.172
202,134,Monroe,131584,1.0
203,135,Monroe,131932,1.0
204,136,Monroe,133337,1.0
205,137,Monroe,131946,1.0
206,138,Monroe,133189,1.0
207,139,Genesee,60079,0.451
208,139,Monroe,35546,0.267
209,139,Orleans,37564,0.282
210,140,Erie,108872,0.835
211,140,Niagara,21584,0.165
212,141,Erie,129315,1.0
213,142,Erie,130464,1.0
214,143,Erie,129830,1.0
215,144,Erie,50166,0.374
216,144,Niagara,78563,0.586
217,144,Orleans,5319,0.04
218,145,Erie,20374,0.156
219,145,Niagara,109925,0.844
220,146,Erie,122366,0.95
221,146,Niagara,6397,0.05
222,147,Erie,97455,0.698
223,147,Wyoming,42155,0.302
224,148,Allegany,48946,0.368
225,148,Cattaraugus,80317,0.603
226,148,Steuben,3828,0.029
227,149,Erie,130198,1.0
228,150,Chautauqua,134905,1.0
