,HD #.1,Parish.3,"Parish Pop.
in HD","% of HD
in Parish"
181,98,Orleans,44771,1.0
182,99,Orleans,41505,1.0
183,100,Orleans,41668,1.0
184,101,East Baton Rouge,42836,1.0
185,102,Orleans,44310,1.0
186,103,Orleans,5152,0.12
187,103,Plaquemines,1943,0.045
188,103,St. Bernard,35897,0.835
189,104,St. Tammany,41243,1.0
190,105,Jefferson,15351,0.342
191,105,Orleans,8475,0.189
192,105,Plaquemines,21099,0.47
